attribute,level_key,level_label,id,context,title,summary,bullet_1,bullet_2,focus_area,organization,project_name
Internship experience,no_relevant_internship_experience,No relevant internship experience,intern_17,,Museum Visitor Assistant,"Held a student or campus role, but no directly relevant internship was listed.",Provided visitor support and tracked daily attendance.,Managed recurring responsibilities while balancing coursework and weekly deadlines.,hospitality operations,local museum front desk,
Internship experience,no_relevant_internship_experience,No relevant internship experience,intern_18,,Community Center Assistant,"Held a student or campus role, but no directly relevant internship was listed.",Coordinated room bookings and responded to inquiries.,Managed recurring responsibilities while balancing coursework and weekly deadlines.,product support,municipal community center,
Internship experience,no_relevant_internship_experience,No relevant internship experience,intern_19,,School Program Volunteer,"Held a student or campus role, but no directly relevant internship was listed.",Supervised activities and recorded attendance.,Managed recurring responsibilities while balancing coursework and weekly deadlines.,communications support,after-school enrichment program,
Internship experience,no_relevant_internship_experience,No relevant internship experience,intern_20,,Retail Sales Associate,"Held a student or campus role, but no directly relevant internship was listed.",Assisted customers and maintained inventory displays.,Managed recurring responsibilities while balancing coursework and weekly deadlines.,procurement support,local retail store,
Internship experience,relevant_internship_smaller_firm,Relevant internship at a smaller firm,intern_01,,Data Operations Intern,Completed a relevant internship focused on data reporting at a smaller firm.,Supported day-to-day work related to data reporting and prepared materials for internal team review.,"Worked closely with a small team and handled tasks spanning analysis, coordination, and follow-up.",data reporting,North Harbor Insights,
Internship experience,relevant_internship_smaller_firm,Relevant internship at a smaller firm,intern_02,,Operations Intern,Completed a relevant internship focused on client support at a smaller firm.,Supported day-to-day work related to client support and prepared materials for internal team review.,"Worked closely with a small team and handled tasks spanning analysis, coordination, and follow-up.",client support,Blue Ridge Advisory,
Internship experience,relevant_internship_smaller_firm,Relevant internship at a smaller firm,intern_03,,Marketing Intern,Completed a relevant internship focused on marketing analytics at a smaller firm.,Supported day-to-day work related to marketing analytics and prepared materials for internal team review.,"Worked closely with a small team and handled tasks spanning analysis, coordination, and follow-up.",marketing analytics,Cedar Point Analytics,
Internship experience,relevant_internship_smaller_firm,Relevant internship at a smaller firm,intern_04,,Finance Intern,Completed a relevant internship focused on financial reporting at a smaller firm.,Supported day-to-day work related to financial reporting and prepared materials for internal team review.,"Worked closely with a small team and handled tasks spanning analysis, coordination, and follow-up.",financial reporting,Maple Street Consulting,
Internship experience,relevant_internship_smaller_firm,Relevant internship at a smaller firm,intern_05,,Operations Intern,Completed a relevant internship focused on supply chain coordination at a smaller firm.,Supported day-to-day work related to supply chain coordination and prepared materials for internal team review.,"Worked closely with a small team and handled tasks spanning analysis, coordination, and follow-up.",supply chain coordination,Brightwell Strategy Group,
Internship experience,relevant_internship_smaller_firm,Relevant internship at a smaller firm,intern_06,,Research Assistant Intern,Completed a relevant internship focused on research support at a smaller firm.,Supported day-to-day work related to research support and prepared materials for internal team review.,"Worked closely with a small team and handled tasks spanning analysis, coordination, and follow-up.",research support,Pinecrest Research,
Internship experience,relevant_internship_smaller_firm,Relevant internship at a smaller firm,intern_07,,HR Intern,Completed a relevant internship focused on people operations at a smaller firm.,Supported day-to-day work related to people operations and prepared materials for internal team review.,"Worked closely with a small team and handled tasks spanning analysis, coordination, and follow-up.",people operations,Silver Oak Solutions,
Internship experience,relevant_internship_smaller_firm,Relevant internship at a smaller firm,intern_08,,Sales Operations Intern,Completed a relevant internship focused on sales support at a smaller firm.,Supported day-to-day work related to sales support and prepared materials for internal team review.,"Worked closely with a small team and handled tasks spanning analysis, coordination, and follow-up.",sales support,Redwood Business Services,
Internship experience,relevant_internship_smaller_firm,Relevant internship at a smaller firm,intern_09,,Customer Success Intern,Completed a relevant internship focused on customer success at a smaller firm.,Supported day-to-day work related to customer success and prepared materials for internal team review.,"Worked closely with a small team and handled tasks spanning analysis, coordination, and follow-up.",customer success,HarborLine Operations,
Internship experience,relevant_internship_smaller_firm,Relevant internship at a smaller firm,intern_10,,Project Support Intern,Completed a relevant internship focused on project coordination at a smaller firm.,Supported day-to-day work related to project coordination and prepared materials for internal team review.,"Worked closely with a small team and handled tasks spanning analysis, coordination, and follow-up.",project coordination,Summit Trail Partners,
Internship experience,relevant_internship_smaller_firm,Relevant internship at a smaller firm,intern_11,,Administrative Intern,Completed a relevant internship focused on healthcare administration at a smaller firm.,Supported day-to-day work related to healthcare administration and prepared materials for internal team review.,"Worked closely with a small team and handled tasks spanning analysis, coordination, and follow-up.",healthcare administration,Westfield Data Services,
Internship experience,relevant_internship_smaller_firm,Relevant internship at a smaller firm,intern_12,,Program Intern,Completed a relevant internship focused on nonprofit program support at a smaller firm.,Supported day-to-day work related to nonprofit program support and prepared materials for internal team review.,"Worked closely with a small team and handled tasks spanning analysis, coordination, and follow-up.",nonprofit program support,Elm Street Advisory,
Internship experience,relevant_internship_smaller_firm,Relevant internship at a smaller firm,intern_13,,Merchandising Intern,Completed a relevant internship focused on retail planning at a smaller firm.,Supported day-to-day work related to retail planning and prepared materials for internal team review.,"Worked closely with a small team and handled tasks spanning analysis, coordination, and follow-up.",retail planning,Clearview Market Research,
Internship experience,relevant_internship_smaller_firm,Relevant internship at a smaller firm,intern_14,,Claims Intern,Completed a relevant internship focused on insurance support at a smaller firm.,Supported day-to-day work related to insurance support and prepared materials for internal team review.,"Worked closely with a small team and handled tasks spanning analysis, coordination, and follow-up.",insurance support,Granite Point Consulting,
Internship experience,relevant_internship_smaller_firm,Relevant internship at a smaller firm,intern_15,,Program Assistant Intern,Completed a relevant internship focused on education services at a smaller firm.,Supported day-to-day work related to education services and prepared materials for internal team review.,"Worked closely with a small team and handled tasks spanning analysis, coordination, and follow-up.",education services,Northgate Planning,
Internship experience,relevant_internship_smaller_firm,Relevant internship at a smaller firm,intern_16,,Leasing Intern,Completed a relevant internship focused on real estate support at a smaller firm.,Supported day-to-day work related to real estate support and prepared materials for internal team review.,"Worked closely with a small team and handled tasks spanning analysis, coordination, and follow-up.",real estate support,Beacon Hill Analytics,
Internship experience,relevant_internship_smaller_firm,Relevant internship at a smaller firm,intern_17,,Hospitality Intern,Completed a relevant internship focused on hospitality operations at a smaller firm.,Supported day-to-day work related to hospitality operations and prepared materials for internal team review.,"Worked closely with a small team and handled tasks spanning analysis, coordination, and follow-up.",hospitality operations,Lakefront Strategy,
Internship experience,relevant_internship_smaller_firm,Relevant internship at a smaller firm,intern_18,,Product Operations Intern,Completed a relevant internship focused on product support at a smaller firm.,Supported day-to-day work related to product support and prepared materials for internal team review.,"Worked closely with a small team and handled tasks spanning analysis, coordination, and follow-up.",product support,Oakview Operations,
Internship experience,relevant_internship_smaller_firm,Relevant internship at a smaller firm,intern_19,,Communications Intern,Completed a relevant internship focused on communications support at a smaller firm.,Supported day-to-day work related to communications support and prepared materials for internal team review.,"Worked closely with a small team and handled tasks spanning analysis, coordination, and follow-up.",communications support,Cornerstone Advisory,
Internship experience,relevant_internship_smaller_firm,Relevant internship at a smaller firm,intern_20,,Procurement Intern,Completed a relevant internship focused on procurement support at a smaller firm.,Supported day-to-day work related to procurement support and prepared materials for internal team review.,"Worked closely with a small team and handled tasks spanning analysis, coordination, and follow-up.",procurement support,Riverbend Insights,
Internship experience,relevant_internship_well_known_firm,Relevant internship at a well-known firm,intern_01,,Business Analyst Intern,Completed a relevant internship focused on data reporting at a well-known firm.,Contributed to projects related to data reporting and supported structured reporting for broader teams.,"Worked within established processes, communicated updates clearly, and delivered materials on schedule.",data reporting,Deloitte,
Internship experience,relevant_internship_well_known_firm,Relevant internship at a well-known firm,intern_02,,Client Strategy Intern,Completed a relevant internship focused on client support at a well-known firm.,Contributed to projects related to client support and supported structured reporting for broader teams.,"Worked within established processes, communicated updates clearly, and delivered materials on schedule.",client support,Amazon,
Internship experience,relevant_internship_well_known_firm,Relevant internship at a well-known firm,intern_03,,Marketing Analytics Intern,Completed a relevant internship focused on marketing analytics at a well-known firm.,Contributed to projects related to marketing analytics and supported structured reporting for broader teams.,"Worked within established processes, communicated updates clearly, and delivered materials on schedule.",marketing analytics,JPMorgan Chase,
Internship experience,relevant_internship_well_known_firm,Relevant internship at a well-known firm,intern_04,,Financial Planning Intern,Completed a relevant internship focused on financial reporting at a well-known firm.,Contributed to projects related to financial reporting and supported structured reporting for broader teams.,"Worked within established processes, communicated updates clearly, and delivered materials on schedule.",financial reporting,Accenture,
Internship experience,relevant_internship_well_known_firm,Relevant internship at a well-known firm,intern_05,,Supply Chain Analyst Intern,Completed a relevant internship focused on supply chain coordination at a well-known firm.,Contributed to projects related to supply chain coordination and supported structured reporting for broader teams.,"Worked within established processes, communicated updates clearly, and delivered materials on schedule.",supply chain coordination,Microsoft,
Internship experience,relevant_internship_well_known_firm,Relevant internship at a well-known firm,intern_06,,Market Research Intern,Completed a relevant internship focused on research support at a well-known firm.,Contributed to projects related to research support and supported structured reporting for broader teams.,"Worked within established processes, communicated updates clearly, and delivered materials on schedule.",research support,PwC,
Internship experience,relevant_internship_well_known_firm,Relevant internship at a well-known firm,intern_07,,People Analytics Intern,Completed a relevant internship focused on people operations at a well-known firm.,Contributed to projects related to people operations and supported structured reporting for broader teams.,"Worked within established processes, communicated updates clearly, and delivered materials on schedule.",people operations,Bank of America,
Internship experience,relevant_internship_well_known_firm,Relevant internship at a well-known firm,intern_08,,Commercial Strategy Intern,Completed a relevant internship focused on sales support at a well-known firm.,Contributed to projects related to sales support and supported structured reporting for broader teams.,"Worked within established processes, communicated updates clearly, and delivered materials on schedule.",sales support,Target,
Internship experience,relevant_internship_well_known_firm,Relevant internship at a well-known firm,intern_09,,Customer Insights Intern,Completed a relevant internship focused on customer success at a well-known firm.,Contributed to projects related to customer success and supported structured reporting for broader teams.,"Worked within established processes, communicated updates clearly, and delivered materials on schedule.",customer success,UnitedHealth Group,
Internship experience,relevant_internship_well_known_firm,Relevant internship at a well-known firm,intern_10,,Project Management Intern,Completed a relevant internship focused on project coordination at a well-known firm.,Contributed to projects related to project coordination and supported structured reporting for broader teams.,"Worked within established processes, communicated updates clearly, and delivered materials on schedule.",project coordination,IBM,
Internship experience,relevant_internship_well_known_firm,Relevant internship at a well-known firm,intern_11,,Healthcare Operations Intern,Completed a relevant internship focused on healthcare administration at a well-known firm.,Contributed to projects related to healthcare administration and supported structured reporting for broader teams.,"Worked within established processes, communicated updates clearly, and delivered materials on schedule.",healthcare administration,Citi,
Internship experience,relevant_internship_well_known_firm,Relevant internship at a well-known firm,intern_12,,Program Analytics Intern,Completed a relevant internship focused on nonprofit program support at a well-known firm.,Contributed to projects related to nonprofit program support and supported structured reporting for broader teams.,"Worked within established processes, communicated updates clearly, and delivered materials on schedule.",nonprofit program support,PepsiCo,
Internship experience,relevant_internship_well_known_firm,Relevant internship at a well-known firm,intern_13,,Retail Strategy Intern,Completed a relevant internship focused on retail planning at a well-known firm.,Contributed to projects related to retail planning and supported structured reporting for broader teams.,"Worked within established processes, communicated updates clearly, and delivered materials on schedule.",retail planning,Capital One,
Internship experience,relevant_internship_well_known_firm,Relevant internship at a well-known firm,intern_14,,Business Process Intern,Completed a relevant internship focused on insurance support at a well-known firm.,Contributed to projects related to insurance support and supported structured reporting for broader teams.,"Worked within established processes, communicated updates clearly, and delivered materials on schedule.",insurance support,KPMG,
Internship experience,relevant_internship_well_known_firm,Relevant internship at a well-known firm,intern_15,,Education Operations Intern,Completed a relevant internship focused on education services at a well-known firm.,Contributed to projects related to education services and supported structured reporting for broader teams.,"Worked within established processes, communicated updates clearly, and delivered materials on schedule.",education services,Adobe,
Internship experience,relevant_internship_well_known_firm,Relevant internship at a well-known firm,intern_16,,Real Estate Analyst Intern,Completed a relevant internship focused on real estate support at a well-known firm.,Contributed to projects related to real estate support and supported structured reporting for broader teams.,"Worked within established processes, communicated updates clearly, and delivered materials on schedule.",real estate support,Pfizer,
Internship experience,relevant_internship_well_known_firm,Relevant internship at a well-known firm,intern_17,,Revenue Operations Intern,Completed a relevant internship focused on hospitality operations at a well-known firm.,Contributed to projects related to hospitality operations and supported structured reporting for broader teams.,"Worked within established processes, communicated updates clearly, and delivered materials on schedule.",hospitality operations,American Express,
Internship experience,relevant_internship_well_known_firm,Relevant internship at a well-known firm,intern_18,,Product Analyst Intern,Completed a relevant internship focused on product support at a well-known firm.,Contributed to projects related to product support and supported structured reporting for broader teams.,"Worked within established processes, communicated updates clearly, and delivered materials on schedule.",product support,Nike,
Internship experience,relevant_internship_well_known_firm,Relevant internship at a well-known firm,intern_19,,Corporate Communications Intern,Completed a relevant internship focused on communications support at a well-known firm.,Contributed to projects related to communications support and supported structured reporting for broader teams.,"Worked within established processes, communicated updates clearly, and delivered materials on schedule.",communications support,Comcast,
Internship experience,relevant_internship_well_known_firm,Relevant internship at a well-known firm,intern_20,,Procurement Analyst Intern,Completed a relevant internship focused on procurement support at a well-known firm.,Contributed to projects related to procurement support and supported structured reporting for broader teams.,"Worked within established processes, communicated updates clearly, and delivered materials on schedule.",procurement support,Visa,
Project achievement style,without_quantified_results,Project experience described without quantified results,project_01,,,Developed a project analyzing student retention patterns and presented findings in an interactive dashboard for program staff.,Collected and cleaned data related to student retention patterns.,Built an interactive dashboard for program staff and shared recommendations with stakeholders.,,,Student Retention Dashboard
Project achievement style,without_quantified_results,Project experience described without quantified results,project_02,,,Developed a project analyzing store-level sales trends and presented findings in an reporting toolkit for weekly reviews.,Collected and cleaned data related to store-level sales trends.,Built an reporting toolkit for weekly reviews and shared recommendations with stakeholders.,,,Retail Sales Analysis
Project achievement style,without_quantified_results,Project experience described without quantified results,project_03,,,Developed a project analyzing event registration and turnout data and presented findings in an planning dashboard for organizers.,Collected and cleaned data related to event registration and turnout data.,Built an planning dashboard for organizers and shared recommendations with stakeholders.,,,Event Attendance Tracker
Project achievement style,without_quantified_results,Project experience described without quantified results,project_04,,,Developed a project analyzing department spending patterns and presented findings in an summary report for monthly meetings.,Collected and cleaned data related to department spending patterns.,Built an summary report for monthly meetings and shared recommendations with stakeholders.,,,Budget Variance Review
Project achievement style,without_quantified_results,Project experience described without quantified results,project_05,,,Developed a project analyzing support ticket patterns and presented findings in an issue categorization dashboard.,Collected and cleaned data related to support ticket patterns.,Built an issue categorization dashboard and shared recommendations with stakeholders.,,,Customer Service Log Analysis
Project achievement style,without_quantified_results,Project experience described without quantified results,project_06,,,Developed a project analyzing housing application trends and presented findings in an forecast summary for planning staff.,Collected and cleaned data related to housing application trends.,Built an forecast summary for planning staff and shared recommendations with stakeholders.,,,Housing Demand Study
Project achievement style,without_quantified_results,Project experience described without quantified results,project_07,,,Developed a project analyzing survey response patterns and presented findings in an presentation-ready findings for stakeholders.,Collected and cleaned data related to survey response patterns.,Built an presentation-ready findings for stakeholders and shared recommendations with stakeholders.,,,Survey Insights Report
Project achievement style,without_quantified_results,Project experience described without quantified results,project_08,,,Developed a project analyzing reorder timing and stock gaps and presented findings in an tracking sheet for operations staff.,Collected and cleaned data related to reorder timing and stock gaps.,Built an tracking sheet for operations staff and shared recommendations with stakeholders.,,,Inventory Reorder Tracker
Project achievement style,without_quantified_results,Project experience described without quantified results,project_09,,,Developed a project analyzing volunteer shift coverage and presented findings in an coordination tracker for supervisors.,Collected and cleaned data related to volunteer shift coverage.,Built an coordination tracker for supervisors and shared recommendations with stakeholders.,,,Volunteer Scheduling Tool
Project achievement style,without_quantified_results,Project experience described without quantified results,project_10,,,Developed a project analyzing common billing exceptions and presented findings in an checklist for process improvement.,Collected and cleaned data related to common billing exceptions.,Built an checklist for process improvement and shared recommendations with stakeholders.,,,Billing Error Review
Project achievement style,without_quantified_results,Project experience described without quantified results,project_11,,,Developed a project analyzing traffic and engagement patterns and presented findings in an performance dashboard for communications staff.,Collected and cleaned data related to traffic and engagement patterns.,Built an performance dashboard for communications staff and shared recommendations with stakeholders.,,,Website Traffic Summary
Project achievement style,without_quantified_results,Project experience described without quantified results,project_12,,,Developed a project analyzing course enrollment changes and presented findings in an report for advising staff.,Collected and cleaned data related to course enrollment changes.,Built an report for advising staff and shared recommendations with stakeholders.,,,Course Enrollment Review
Project achievement style,without_quantified_results,Project experience described without quantified results,project_13,,,Developed a project analyzing vendor pricing and service records and presented findings in an comparison worksheet for procurement review.,Collected and cleaned data related to vendor pricing and service records.,Built an comparison worksheet for procurement review and shared recommendations with stakeholders.,,,Vendor Comparison Model
Project achievement style,without_quantified_results,Project experience described without quantified results,project_14,,,Developed a project analyzing donor campaign results and presented findings in an summary deck for outreach planning.,Collected and cleaned data related to donor campaign results.,Built an summary deck for outreach planning and shared recommendations with stakeholders.,,,Fundraising Performance Report
Project achievement style,without_quantified_results,Project experience described without quantified results,project_15,,,Developed a project analyzing appointment scheduling delays and presented findings in an tracking dashboard for administrators.,Collected and cleaned data related to appointment scheduling delays.,Built an tracking dashboard for administrators and shared recommendations with stakeholders.,,,Clinic Scheduling Analysis
Project achievement style,without_quantified_results,Project experience described without quantified results,project_16,,,Developed a project analyzing fulfillment timing issues and presented findings in an operations summary for team leads.,Collected and cleaned data related to fulfillment timing issues.,Built an operations summary for team leads and shared recommendations with stakeholders.,,,Shipping Delay Review
Project achievement style,without_quantified_results,Project experience described without quantified results,project_17,,,Developed a project analyzing claims turnaround times and presented findings in an workflow summary for supervisors.,Collected and cleaned data related to claims turnaround times.,Built an workflow summary for supervisors and shared recommendations with stakeholders.,,,Claims Processing Review
Project achievement style,without_quantified_results,Project experience described without quantified results,project_18,,,Developed a project analyzing applicant funnel stages and presented findings in an dashboard for recruiting staff.,Collected and cleaned data related to applicant funnel stages.,Built an dashboard for recruiting staff and shared recommendations with stakeholders.,,,Recruitment Funnel Summary
Project achievement style,without_quantified_results,Project experience described without quantified results,project_19,,,Developed a project analyzing renewal and churn patterns and presented findings in an report for account managers.,Collected and cleaned data related to renewal and churn patterns.,Built an report for account managers and shared recommendations with stakeholders.,,,Membership Renewal Analysis
Project achievement style,without_quantified_results,Project experience described without quantified results,project_20,,,Developed a project analyzing training completion records and presented findings in an status dashboard for coordinators.,Collected and cleaned data related to training completion records.,Built an status dashboard for coordinators and shared recommendations with stakeholders.,,,Training Attendance Tracker
Project achievement style,with_quantified_results,Project experience includes quantified results,project_01,,,Developed a project analyzing student retention patterns and presented findings in an interactive dashboard for program staff.,Collected and cleaned data related to student retention patterns.,Built an interactive dashboard for program staff that cut preparation time by 18%.,,,Student Retention Dashboard
Project achievement style,with_quantified_results,Project experience includes quantified results,project_02,,,Developed a project analyzing store-level sales trends and presented findings in an reporting toolkit for weekly reviews.,Collected and cleaned data related to store-level sales trends.,Built an reporting toolkit for weekly reviews that improved reporting turnaround by 22%.,,,Retail Sales Analysis
Project achievement style,with_quantified_results,Project experience includes quantified results,project_03,,,Developed a project analyzing event registration and turnout data and presented findings in an planning dashboard for organizers.,Collected and cleaned data related to event registration and turnout data.,Built an planning dashboard for organizers that reduced manual review effort by 15%.,,,Event Attendance Tracker
Project achievement style,with_quantified_results,Project experience includes quantified results,project_04,,,Developed a project analyzing department spending patterns and presented findings in an summary report for monthly meetings.,Collected and cleaned data related to department spending patterns.,Built an summary report for monthly meetings that increased data accuracy by 12%.,,,Budget Variance Review
Project achievement style,with_quantified_results,Project experience includes quantified results,project_05,,,Developed a project analyzing support ticket patterns and presented findings in an issue categorization dashboard.,Collected and cleaned data related to support ticket patterns.,Built an issue categorization dashboard that shortened update cycles by 20%.,,,Customer Service Log Analysis
Project achievement style,with_quantified_results,Project experience includes quantified results,project_06,,,Developed a project analyzing housing application trends and presented findings in an forecast summary for planning staff.,Collected and cleaned data related to housing application trends.,Built an forecast summary for planning staff that improved completion rates by 14%.,,,Housing Demand Study
Project achievement style,with_quantified_results,Project experience includes quantified results,project_07,,,Developed a project analyzing survey response patterns and presented findings in an presentation-ready findings for stakeholders.,Collected and cleaned data related to survey response patterns.,Built an presentation-ready findings for stakeholders that reduced follow-up delays by 19%.,,,Survey Insights Report
Project achievement style,with_quantified_results,Project experience includes quantified results,project_08,,,Developed a project analyzing reorder timing and stock gaps and presented findings in an tracking sheet for operations staff.,Collected and cleaned data related to reorder timing and stock gaps.,Built an tracking sheet for operations staff that improved response tracking by 17%.,,,Inventory Reorder Tracker
Project achievement style,with_quantified_results,Project experience includes quantified results,project_09,,,Developed a project analyzing volunteer shift coverage and presented findings in an coordination tracker for supervisors.,Collected and cleaned data related to volunteer shift coverage.,Built an coordination tracker for supervisors that reduced stockout exceptions by 13%.,,,Volunteer Scheduling Tool
Project achievement style,with_quantified_results,Project experience includes quantified results,project_10,,,Developed a project analyzing common billing exceptions and presented findings in an checklist for process improvement.,Collected and cleaned data related to common billing exceptions.,Built an checklist for process improvement that improved scheduling visibility by 21%.,,,Billing Error Review
Project achievement style,with_quantified_results,Project experience includes quantified results,project_11,,,Developed a project analyzing traffic and engagement patterns and presented findings in an performance dashboard for communications staff.,Collected and cleaned data related to traffic and engagement patterns.,Built an performance dashboard for communications staff that lowered billing review time by 16%.,,,Website Traffic Summary
Project achievement style,with_quantified_results,Project experience includes quantified results,project_12,,,Developed a project analyzing course enrollment changes and presented findings in an report for advising staff.,Collected and cleaned data related to course enrollment changes.,Built an report for advising staff that improved content reporting speed by 23%.,,,Course Enrollment Review
Project achievement style,with_quantified_results,Project experience includes quantified results,project_13,,,Developed a project analyzing vendor pricing and service records and presented findings in an comparison worksheet for procurement review.,Collected and cleaned data related to vendor pricing and service records.,Built an comparison worksheet for procurement review that reduced advising prep time by 18%.,,,Vendor Comparison Model
Project achievement style,with_quantified_results,Project experience includes quantified results,project_14,,,Developed a project analyzing donor campaign results and presented findings in an summary deck for outreach planning.,Collected and cleaned data related to donor campaign results.,Built an summary deck for outreach planning that improved vendor comparison turnaround by 20%.,,,Fundraising Performance Report
Project achievement style,with_quantified_results,Project experience includes quantified results,project_15,,,Developed a project analyzing appointment scheduling delays and presented findings in an tracking dashboard for administrators.,Collected and cleaned data related to appointment scheduling delays.,Built an tracking dashboard for administrators that raised campaign follow-up efficiency by 15%.,,,Clinic Scheduling Analysis
Project achievement style,with_quantified_results,Project experience includes quantified results,project_16,,,Developed a project analyzing fulfillment timing issues and presented findings in an operations summary for team leads.,Collected and cleaned data related to fulfillment timing issues.,Built an operations summary for team leads that cut scheduling backlog by 17%.,,,Shipping Delay Review
Project achievement style,with_quantified_results,Project experience includes quantified results,project_17,,,Developed a project analyzing claims turnaround times and presented findings in an workflow summary for supervisors.,Collected and cleaned data related to claims turnaround times.,Built an workflow summary for supervisors that reduced delay review time by 14%.,,,Claims Processing Review
Project achievement style,with_quantified_results,Project experience includes quantified results,project_18,,,Developed a project analyzing applicant funnel stages and presented findings in an dashboard for recruiting staff.,Collected and cleaned data related to applicant funnel stages.,Built an dashboard for recruiting staff that improved funnel reporting speed by 19%.,,,Recruitment Funnel Summary
Project achievement style,with_quantified_results,Project experience includes quantified results,project_19,,,Developed a project analyzing renewal and churn patterns and presented findings in an report for account managers.,Collected and cleaned data related to renewal and churn patterns.,Built an report for account managers that increased renewal tracking accuracy by 11%.,,,Membership Renewal Analysis
Project achievement style,with_quantified_results,Project experience includes quantified results,project_20,,,Developed a project analyzing training completion records and presented findings in an status dashboard for coordinators.,Collected and cleaned data related to training completion records.,Built an status dashboard for coordinators that raised training status visibility by 24%.,,,Training Attendance Tracker
